,date,account_value
214,2020-01-31,100570.95418706363
215,2020-02-03,101070.2889077611
216,2020-02-04,103020.62525716043
217,2020-02-05,104871.78151203375
218,2020-02-06,105828.70367876903
219,2020-02-07,106218.96355152995
220,2020-02-10,106418.32134536364
221,2020-02-11,107768.1405832807
222,2020-02-12,108510.96220657449
223,2020-02-13,107658.59671880172
224,2020-02-14,108188.13570447081
225,2020-02-17,109265.65118798496
226,2020-02-18,108797.54395143129
227,2020-02-19,108287.92592678245
228,2020-02-20,107995.76704285482
229,2020-02-21,107519.9325463445
230,2020-02-24,103214.11721144346
231,2020-02-25,100989.95101423847
232,2020-02-26,101374.68090958924
233,2020-02-27,99125.17472608152
234,2020-02-28,97485.49370267047
235,2020-03-02,97538.09013248733
236,2020-03-03,100175.73054455704
237,2020-03-04,100327.53870922537
238,2020-03-05,98397.47872622588
239,2020-03-06,96911.8168005556
240,2020-03-09,90438.42140270631
241,2020-03-10,87341.9184168864
242,2020-03-11,84030.06024114683
243,2020-03-12,71531.41529016031
244,2020-03-13,75184.79243840728
245,2020-03-16,71933.99284532314
246,2020-03-17,75860.17049541105
247,2020-03-18,73633.54564730312
248,2020-03-19,74845.98296565701
249,2020-03-20,76128.47218431583
250,2020-03-23,74476.1812005926
251,2020-03-24,78238.89299971383
252,2020-03-25,79009.63357953099
253,2020-03-26,80479.73808095997
254,2020-03-27,79055.78979604896
255,2020-03-30,78431.9946533965
256,2020-03-31,80610.90759999641
257,2020-04-01,78748.81413367948
258,2020-04-02,78628.35942708612
259,2020-04-03,77946.67718154108
260,2020-04-06,80371.58923085644
261,2020-04-07,82565.36145157594
262,2020-04-08,82030.05549466364
263,2020-04-09,83758.68601888746
264,2020-04-14,84210.30768025604
265,2020-04-15,81786.37130217101
266,2020-04-16,81472.71422575682
267,2020-04-17,83413.27348874776
268,2020-04-20,83041.70122225858
269,2020-04-21,81964.64620658959
270,2020-04-22,82526.16666366892
271,2020-04-23,82735.34689750287
272,2020-04-24,82116.20361755087
273,2020-04-27,84333.5771784014
274,2020-04-28,85116.56726452138
275,2020-04-29,87052.0744863952
276,2020-04-30,86067.3726559343
277,2020-05-04,83599.35758436206
278,2020-05-05,84838.4144496341
279,2020-05-06,84288.17208042598
280,2020-05-07,84776.65366682764
281,2020-05-08,85807.64468031557
282,2020-05-11,84690.4408755798
283,2020-05-12,85475.34003601439
284,2020-05-13,84485.74959426656
285,2020-05-14,83467.89566011864
286,2020-05-15,83178.77569260013
287,2020-05-18,85483.49953778846
288,2020-05-19,82897.38605323354
